218	mulExp#INT	reduction
219	unaryExp#INT	reduction
220	primaryExp#INT	reduction
221	number#INT	reduction
222	INT#INT	move
223	mulExpAtom#;	reduction
224	addExpAtom#;	reduction
225	relExpAtom#;	reduction
226	eqExpAtom#;	reduction
227	assignExpAtom#;	reduction
228	argVarDecl#;	reduction
229	;#;	move
230	blockItem#int	reduction
231	decl#int	reduction
232	varDecl#int	reduction
233	bType#int	reduction
234	int#int	move
235	varDef#Ident	reduction
236	Ident#Ident	move
237	argVarDef#=	reduction
238	=#=	move
239	initVal#Ident	reduction
240	exp#Ident	reduction
241	assignExp#Ident	reduction
242	eqExp#Ident	reduction
243	relExp#Ident	reduction
244	addExp#Ident	reduction
245	mulExp#Ident	reduction
246	unaryExp#Ident	reduction
247	Ident#Ident	move
248	callFunc#;	reduction
249	mulExpAtom#;	reduction
250	addExpAtom#;	reduction
251	relExpAtom#;	reduction
252	eqExpAtom#;	reduction
253	assignExpAtom#;	reduction
254	argVarDecl#;	reduction
255	;#;	move
256	blockItem#return	reduction
257	stmt#return	reduction
258	return#return	move
259	argExp#Ident	reduction
260	exp#Ident	reduction
261	assignExp#Ident	reduction
262	eqExp#Ident	reduction
263	relExp#Ident	reduction
264	addExp#Ident	reduction
265	mulExp#Ident	reduction
266	unaryExp#Ident	reduction
267	Ident#Ident	move
268	callFunc#+	reduction
269	mulExpAtom#+	reduction
270	addExpAtom#+	reduction
271	+#+	move
272	mulExp#Ident	reduction
273	unaryExp#Ident	reduction
274	Ident#Ident	move
275	callFunc#;	reduction
276	mulExpAtom#;	reduction
277	addExpAtom#;	reduction
278	relExpAtom#;	reduction
279	eqExpAtom#;	reduction
280	assignExpAtom#;	reduction
281	;#;	move
282	blockItem#}	reduction
283	}#}	move
284	compUnit##	reduction
285	EOF#EOF	accept
